wiI7pd,bulan_tahun,label_nbc_fasttext
"Sumber airnya jernih , seger suasanya enak banget , bawa keluarga oke
Tiket masuk 5rb
Parkir 3rb sepeda motor …",February 2024,positif
"Sebenarnya kalau ditata per segmen akan cukup bagus,hal yg mjd perhatian adalah soal kebersihan, krn sampah2 berserakan baik di pinggir sawah maupun di sumbernya, harus ada petugas yg rutin mengawasi pengunjung sambil membersihkan area rekreasi, penjual di dorong utk tdk menggunakan kemasan plastik/styrofoam",February 2024,positif
"Sumber sira adalah salah satu tempat wisata yang sangat sejuk sekali dan akses menuju ke tempatnya juga sangat mudah untuk kesini, sangat suka sekali dengan tempat pemandiannya di 🤩🤩 …",February 2024,positif
"Cocok untuk healing bersama keluarga, murah tiketnya",February 2024,netral
Lumayan bagus,February 2024,positif
Sangat indah,February 2024,positif
Lumayan happy sih buat referensi piknik bocil2,February 2024,positif
"Terakhir kali ksni tempat nya masih lmyan asri dn alami, skrg sdh lmyan bnyk perubahan lebih banyak wahana dg harga terjangkau Kkrngannya d kebersihan sih perlu lebih d perhatikan lagi",February 2024,positif
"Udah lama banget terakhir kesini sekitar 4 tahun yg lalu.

Sekarang ?? .. wow Guantengg abis 👍. Akses mobil mulus. Parkir lumayan lah ya 👍. …",February 2024,positif
"Jangan Ikut Jalan Ke arah Panjen klo gk pengen diarahin Googlemaps ke Kuburan, tapi klo sepeda moto bisa langsung smpe lewat kuburan trus sampe lokasi, mending lewat arah Turen Bisa Pake Mobil & Sepeda, Ingat hati2 Cuma Bayar parkir masuk gratis",February 2024,positif
"Kalau kesini lebih baik membawa tikar sendiri dari rumah
Saya kasih bintang 3 krn toilet cuma terbatas disatu titik kumpul.mau kencing harus antri nunggu lama dg orang yg bilas ganti baju.",February 2024,positif
"Ada kolam renang untuk anak2
Tiket HTM 5rb/org
Wahana kereta sawah 10rb/org",February 2024,netral
"Wisata desa alternative, bisa untuk latihan snorkeling",February 2024,netral
"Wisata Alam dengan pemandangan sungai jernih serta persawahan, di sana kita dapat menaiki kereta sawah, ada pula kolam ikan koi di sana, tak hanya satu sungai, disana menyediakan banyak sungai, sehingga kita bisa leluasa berenang bersama keluarga.",February 2024,positif
"Lokasinya lumayan jauh dari kota malang, tp akses jalannya enak dan mudah dicari sesuai map. Area wisatanya luassss, terkadang suka buat nge camp juga. …",February 2024,positif
"Tempat bagus, enak untuk renang",February 2024,positif
"Mata air alami, seger airnya",February 2024,positif
Bagus murah alami,February 2024,positif
Masih segar dingin airnya,February 2024,positif
Oke,February 2024,netral
Seneng sih asri sejuk murah juga makanan juga murah anak senang hatipun tenang,February 2024,positif
"salah satu tempat yang sangat amat menarik,,
karena air nya sangat jernih,,
keseruan kita ada di link bawah ini …",February 2024,positif
tempat wisata yg murah juga lumayan bagus tempat nya ada kolam renang khusus anak kecil yg untuk dewasa msh blom ada ada kolam yg mata air nya dri sumber sepwrti sumber ada food court tapi pas kesnaa hanya brp saja yg buka keindahan alam yg …,February 2024,positif
"Asik adem seger cuma yg tengah agak dalam jadi yg gabisa renang seperti saya agak kecewa karena gabisa eksplorasi di sumber ini
Tapi overall seru sih segeerrr pol adem banyak ikan jugak",February 2024,positif
"Berada di sini adalah sebuah perjalanan yang menghidupkan kembali semangat. Kolam renang yang disuplai oleh mata air alami ini memberikan pengalaman yang luar biasa. Ketika langkah pertama masuk ke dalam air, perbedaan yang langsung terasa …",February 2024,positif
recomend banget nih gaiss✨✨,February 2024,positif
Seger,February 2024,positif
"Kolam alami yang indah, airnya jernih dan tidak terlalu dalam. Sisi jauh penuh dengan ikan. Mudah dijangkau, parkir murah, dan tiket masuk murah. Saat ini sedang mengerjakan fitur baru.",February 2024,positif
Semoga beruntung....!!!!,February 2024,positif
"Sangat baguss
Perlu ditingkatkan lagi",February 2024,positif
"Tempat berenang yg nyaman dgn kesegaran airnya yg bening dan sejuk di badan, sayangnya bagi org dewasa yg tidak bisa berenang harus berhati² karena di dasar kolam utk pijakan kaki tidak rata, sebagian ada yg dangkal dan sebagian lagi ada yg dalam",February 2024,positif
"segaaarrr, untuk saya yang ga bisa berenang lumayan nyaman ga terlalu dalam hehe",February 2024,negatif
"Salah tempat rekreasi sumber yang ada di daerah Gondanglegi, Kab. Malang menyajikan suasana pedesaan dan sumber air yg sangat jernih, tiket masuknya 5k per-org, parkir motor 3k",February 2024,positif
Tempat yang indah,February 2024,positif
Menyesap,February 2024,negatif
"Bening, enak buat berenang",February 2024,positif
"Minggu kemarin kesini tiket per orang 5 ribu tiket sepeda motor 3rb, tempatnya adem cukup bersih , banyak tong sampah sehingga memudah kan pengunjung agar buang sampah pada tmptnya , air sumber juga bersih dan jernih, sangat cocok untuk …",February 2024,positif
Wisata murmer dengan vibe menenangkan... tiket masuk hanya 5rb per org dan parkir 3rb untuk motor sangat worth it,February 2024,positif
Sungai dgn mata air yang jernih,February 2024,positif
"Membutuhkan lebih banyak fasilitas untuk mendukung,",February 2024,positif
Kereta sawahnya 10k 2x puteran. Yg di danau sumber siranya. Air jernih dingin. Tapi perlu hati2 bebatuan di bawah danau …,February 2024,negatif
Airnya super duper bening. Bagus. Sangat natural.,February 2024,positif
"kumpul"" asik",February 2024,netral
"Susah cari warung,, kang parkir juga g mau arahin pas mobil qt mau keluar dah tau mau mobil mau plg gak d arah no byr mobil 10k htm 5000/orang",February 2024,negatif
kamar mandi sedikit pdhl pengunjungnya membludak. yg lebih parah lagi wisata air tp kenapa kamar mandi bayar. baru kali ini sih wisata air tp ganti baju aja bayar. kurang terawat juga airnya. kesini sama anak sama suami. niat hati mau main …,February 2024,positif
"Pokoknya dtg jangan pas weekend, rame bgt. Tapi untungnya tempatnya luas jadi bisa sambil piknik atau naik kereta muter2 sawah dlu. Oh iya saran, barang berharga & barang yg sekiranya mudah diambil org mending taruh di loker (sewa). Soalnya …",February 2024,positif
Airnya jernih sayang kurang terawat,February 2024,positif
"Airnya dalam ada kolam khusus anak anak, ada warung , bisa buat acara juga",February 2024,positif
Harga bersahabat,February 2024,positif
Klo anda dari luar kota klo tujuannya cm ke sini bakal kecewa krn view biasa saja persawahan lereng gunung. Ada bbrp bak kolam dan kolam alami. Ada kereta mini bagi anda yg ingin menikmati pemandangan dari atas sawah. Tersedia warung2 …,February 2024,negatif
Wisata alam yang sangat cocok pada saat musim kemarau. Sumber air yang sangat jernih dan cocok untuk sekedar berendam.,February 2024,positif
Tempatnya nyaman,February 2024,positif
"Suasananya sangat sejuk, asri dan nyaman.
Ada kolam khusus untuk anak² dan kereta api untuk berkeliling sawah. Cocok untuk liburan bersama keluarga, teman maupun pasangan. …",February 2024,positif
Suasana yg sejuk dan nyaman di antara sumber dan persawahan,February 2024,positif
"Tempatnya nyaman, seger, barang aman walaupun ditinggal renang👍 tetap jaga keasriannya …",February 2024,positif
wisata murah meriah dekat rumah,February 2024,positif
"Beli gorengan murah disana beli pop mie, nyenengin anak anak kecil naik kereta keliling sawah Abis renang disumber air jernih tanpa kaporit",February 2024,positif
Bagus,February 2024,positif
"So far cukup menyenangkan mainnair disini. Tempatnya juga bersih, klo weekend cocok buat tempat libur bareng keluarga",February 2024,positif
Mohon diperbaiki lagi untuk tempatnya supaya lebih banyak tempat bermain nya,February 2024,positif
"Tempatnya nyaman cocok untuk bermain bersama keluarga ,,ada kolam renang untuk anak2 juga,,,,",February 2024,positif
Salah satu pemandian sumber mata air di daerah Gondanglegi kabupaten Malang. Berjarak 40menit dari pusat kota malang membuat tempat ini cukup ramai didatangi oleh pengunjung dari sekitar kota dan kabupaten Malang. Akses masuk ke sumber sira …,February 2024,netral
Kolam untuk anak kecil nya panas.. Tidak ada tempat teduh untuk duduk sambil nunggu anak renang,February 2024,positif
Bagus....lumayan....hanya masalah sampah yg perlu diperhatikan....,February 2024,positif
"Akhirnya bisa mampir dimari, alternatif wisata air di malang, airnya bening bgt, suasananya sejuk, murah meriah juga, sayang gk ada yg jual kelapa muda..krn sepanjang jln menuju kesini byk tanaman kelapa..:)",February 2024,negatif
Lumayan tempat rekrwasi murah pemandian air aumber,February 2024,positif
"Wisata alam murah meriah. Harga tiket masuknya Rp.5000 untuk dewasa dan Rp.3000 untuk anak-anak, harga makanan yang dijual ga mahal, ada persewaan ban buat renang 5000 yang kecil dan 7000 yang besar, naik kereta sawah Rp.10.000 per orang …",February 2024,netral
"Wisata yang ga bikin jebol kantong

Anak2 suka …",February 2024,positif
Tempat bersndam yg murah dan bagus,February 2024,positif
Bagus buat diving,February 2024,positif
"Tempat nyaman, murah",February 2024,positif
"Murah, Tempat agak luas, dingin dan kedalaman bervariasi",February 2024,netral
keren,February 2024,netral
Kurang memuaskan,February 2024,positif
"Untuk mandi kalau hari Sabtu Minggu lumayan penuh, kalau mau main kereta sawah dibulan Oktober sekarang kan lagi panas cuacanya, jadinya kurang menikmati kalau ingin main saran untuk pengunjung bawa kacamata hitam supaya enak aja",February 2024,positif
Seger banget airnya...pemandangan jg sangat indah...asooooy pokoknya,February 2024,positif
"Tempatnya cukup menyenangkan buat main air yang tanpa kaporit, parkirnya juga lumayan luas... tapi sayang tiket toiletnya, tidak satu tarif... andai saja disediakan kamar ganti gratis, pasti bakal tambah rame pengunjungnya.",February 2024,positif
"Tempat ramah keluarga dan murah meriah. Ada kereta listrik untuk anak-anak juga.
Airnya jernih dan lokasi cukup bersih.",February 2024,positif
Jajak pendapat air tawar,February 2024,netral
"Tempatnya tidak terlalu ramai, airnya dingin, ada kereta api juga. Cocok untuk keluarga",February 2024,netral
"Memang bagus jika sepi..leluasa..
Jika ramai terlalu sumpek..tidak nyaman",February 2024,positif
Hiburan yang ekonomis,February 2024,positif
"Masih banyak sampah, jarang ditemukan tempat sampah. Disarankan kesini di hari biasa supaya sepi. Harga tiket 5rb + parkir.",February 2024,netral
Dingin sekali..,February 2024,netral
"Murmer tpi berkesan
Sayang ada karaokenya kesanya jadi agak kurang pas
Apalagi yg nyanyi ( maaf ) perempuan yg agak  ga pass dilihhat anak2",February 2024,negatif
"Tiket masuk 5K dewasa 3K anak-anak
Semua warung disini harganya sangat normal, tidak ada yang mahal walaupun itu tempat wisata",February 2024,netral
keren sekali,February 2024,positif
"Temen"" yg baru mau ke sana, ini ada sedikit saran yg sangat bermanfaat inshaAllah..
Jd kalau bapak tukang parkir mengarahkan temen"" utk parkir di bawah bukan di …",February 2024,positif
Airnya jernih dan seger... Kebetulan pas gerimis... 😅 tapi seru sih... Karena cuti di hari kerja jadi kondisinya tidak terlalu ramai... Harga tiket juga terjangkau dan murah... Ada wahana kereta sawah juga bagi yg ingin berkunjung dengan buah hatinya... …,February 2024,positif
Bagus,February 2024,positif
Pengelolaan wisata sangat bagus... tempat wisata dan area warung tertata dengan rapi,February 2024,positif
"Ramai tapi tetap worth it buat kesini, airnya jernih suasana asri. Sekarang ada kereta-kereta an yang bisa kita naiki sambil menikmati pemandangan sawah dan sekitar sumber Sirah",February 2024,positif
"tempatnya semakibn bersih, tiket masuk murah, airnya jernih",February 2024,positif
Enak buat santai,February 2024,positif
"seger banget airnya jernih, sudah ada pemandian untuk anak2 dan suasananya sejuk. worth it buat berenang santai dan piknik tipis tipis",February 2024,positif
merakyat & fun,February 2024,netral
"Suegir, aku tidak menyesal pergi” Aku segera datang kesini untuk mandi",February 2024,positif
"Kurang puas
Tolong pihak desa mendanai pembenahan untuk spot arum jeram yang berpotensi di jalur air sumber sirah ke selatan …",February 2024,negatif
"HTM sangat terjangkau, lokasi juga mudah ditempuh dan jalan memadai, tempat bersih, harga makanan di warung normal, pelayanan juga baik. Mungkin ditingkatkan atau ditambah lagi fasilitas2 penunjang lainnya",February 2024,positif
"Sumber Sira Putukrejo baru pertama kali tahun 2017, dengan lokasinya Putukrejo, Gondanglegi, Kabupaten Malang. Tiket masuknya dua ribu rupiah perorang, sewa ban lima ribu rupiah, loker tas seribu rupiah dan mandi dua ribu rupiah. Ada …",February 2024,netral
Mengaji,February 2024,netral
"Tempatnya sejuk, tiket murah, cocok untuk piknik bareng keluarga",February 2024,positif
Wahana wisata alam yg baguus,February 2024,positif
Bersih dan air nya seger....tempat tertata rapi,February 2024,positif
Bagus...   Perlu dikembangkan,February 2024,positif
"Bagus dan bersih, murah meriah",February 2024,positif
"Wisata yang cocok buat bawa kluarga tercinta 😍 👍👍lebih jelasnya cek video vlog saya ""Themat Sang Petualang"" …",February 2024,positif
Harga tiket masuknya per orang berapa ya,February 2024,netral
Wisata sumber sira ini seperti kolam renang. Htm nya murah pakai banget. Airnya langsung dari sumber makanya namanya sumber sira. Airnya bening banget dingin dan seger banget. Untuk makanan du dalam tempat wisatanya juga masih sangat murah. …,February 2024,positif
Air jernih alami,February 2024,positif
"Tempatnya mantap untuk biaya masuk hanya Rp 5k saja , untuk parkir 3k dan  mandi 3k sumber yg terkenal di malang dan ada spot naik kereta baru saja di bangun",February 2024,positif
"Murah, bersih. Disarankan membawa kacamata renang.",February 2024,positif
"Masih alam ya.
Sebagai wisata lokal ini cukup murah meriah , bisa berenang tanpa bahan kimia Kaporit",February 2024,netral
Tempat asikk buat healing mumer...gak nyesel pokoe,February 2024,positif
Wisata sumber terbaik se Malang Raya,February 2024,positif
"Bagus
Cuma kurang terawat
Kamar mandi ga harus bayar seharusnya,secara lokasi di sumber air,masak bayar air buat buang air",February 2024,positif
"Tempatnya sejuk, ada kolam renangnya, ada kereta sawah, bisa dijadikan refresh di akhir pekan",February 2024,netral
"bagus, renang di alam. menyejukkan pikiran dari hiruk pikuk kota.",February 2024,positif
"Parkir 3 rb, htm 5 rb per orang
Parkir motor di atas, dan sumbernya ada dibawah jadi lumayan effort jalannya
Kamar mandi bersih, tiap beraktivitas ada tarifnya sendiri, cuma ganti pun …",February 2024,positif
Lumayan bagus,February 2024,positif
"Rekomendasi wisata murah tapi memuaskan. Akses jalan tidak sulit. Parkir motor 3k dan tiket masuk per@ hanya 5k. Bener-bener sejuk, walaupun udara panas tapi tetep seger rasanya. Apalagi kalo udh nyebur ke sumbernya, waaahhhh. Airnya sangat …",February 2024,positif
Kolam renangnya bagus 👍🏻 dan juga kereta sawahnya cocok untuk anak-anak. …,February 2024,positif
"Air yang jernih, indah pemandangan nya",February 2024,positif
bagus bersih,February 2024,positif
"Air nya jernih sekali, bagus buat sw,ig. Terjaga kelestarian nya, tempat nya luas, adem. Banyak pohon² rindang,, next time kesini lagi 😁 …",February 2024,positif
Kolam renang Alami,February 2024,positif
"Tempat healing murah meriah di Kab. Malang. Kolam renang dengan air sumber yang suegernya minta ampun. Dan, ada yang baru juga di tempat ini; kereta sawah. Jadi gak perlu jauh jauh ke luar kota buat naik kereta sawah.",February 2024,positif
"Sumber airnya jernih banget. Jumlah pengunjung saat weekend & hari libur nasional meningkat, sehingga sedikit lebih ramai dari hari biasa. Harga tiket masuk Rp5.000,00/ orang, parkir motor Rp3.000,00 mobil Rp10.000,00. Petugasnya ramah …",February 2024,positif
Top lah...,February 2024,positif
murah meriah,February 2024,netral
"Air yang jernih dan sugar, bisa berenang bareng ikan dan melihat tanaman air. Kedalaman air bervariasi dari 1m sampai 2,5 m. Jika ingin berenang di area yang dangkat silahkan ambil sisi sebelah kiri dari tangga menuju sumber",February 2024,positif
"Murah sii, tapi spot foto nya udh banyak yg rusak mungkin karena udh lama juga, minta diperbaharui 😁 …",February 2024,negatif
"One of the best natural places in Malang. Tempat dengan pemberdayaan masyarakat lokal yang sangat keren. Selalu ada pembaharuan yg berarti untuk tempat ini seperti wahana keretaan, lemari penitipan, kamar mandi yg sepertinya ditambah, dll. …",February 2024,positif
Mantab untuk keluarga,February 2024,positif
"Kalau kebersihan lingkungan lebih diperhatikan tentu akan lebih menarik. Air sumbernya melimpah dan jernih. Kalau kesini hari kerja lebih sepi, jadi lebih leluasa menikmati suasana.",February 2024,positif
"Tempat pemandian alami,
Dengan nuansa alam yang sangat indah.
Saran saya mungkin lebih dik3lola lg dengan baik karena masih banyak potensi …",February 2024,positif
Sejuk rindang indah,February 2024,positif
"Jalan ke arah mata air sumber sira dari arah malang kota tidak ada tanjakan atau turunan curam yang harus dilalui bs dengan motor atau mobil.
Untuk sampai kemata airnya hanya butuh jalan sedikit dr lokasi parkiran. …",February 2024,negatif
"Sumber mata air alam ada ikanya yang gak bokeh di ambili, sejuk ada kertanya area persawahan
Kolam untuk anak2 . …",February 2024,positif
bagus,February 2024,positif
"Lumayan bagus utk ngadem,tiket gratis,byr parkir sj 3000, makan di warung harga standart gak bikin kantong bolong",February 2024,positif
"Pemandian dan kolam renang dengan sumber air murni dan jernih alami, di desa putukrejo gondanglegi malang, tiket masuk 5000, parkir mobil 10rb, sdh bisa renang sepuasnya. …",February 2024,positif
"liburan murah meriah, htm hanya 5k
bisa renang langsung di sumber sira. Tersedia kolam renang untuk anak2, fasilitas oke langkap dengan kmar mandi/baju ganti, musholla bersih dan warung2 kopi yg …",February 2024,positif
Mantab,February 2024,positif
"Murah, ceria, suasana natural, penataan cukup baik untuk harga segitu 👍👍
Harga Makanan & Minuman pas di kantong
Ada kolam renang anak, ada kolam mata air dengan kedalaman -+ 1,5 meter.. …",February 2024,positif
"Wisata viral yg cocok untuk semua kalangan menengah keatas sampai kebawah..
Apalagi ditempat warung yg jualan sangat ramah tamah... ☺😊 bintang⭐⭐⭐⭐⭐ untuk pelayananya.. 👏👍👌 …",February 2024,positif
Air jernih,February 2024,positif
"HTM Dewasa 5rb
HTM Anak 3rb …",February 2024,netral
Bagus indah pemandangannya,February 2024,positif
Sejuk,February 2024,netral
Htm cuma 5k parkir R2 3k gorengan 1k kopi 5k naik kereta diatas sawah 10k.. Lumayan healing tipis2,February 2024,netral
Tempat memiliki rute yang sama dengan Sumber Jenon (versi memutari gunung) namun lurus nambah 5km. Jalan relatif datar dengan elevasi gain dari sidoarjo hanya 257m. …,February 2024,positif
"HTMnya kalo ga salah 5rb perorang + parkir motor 3rb
Tempatnya bagus, airnya jernih bgt, seger karna dikelilingi sawah tapi sayang lumayan ada banyak sampah plastik di sekitar lokasi …",February 2024,negatif
Lumayan untuk rekreasi keluarga dwngan tema alami,February 2024,positif
"Tempatnya Bagus, jalan menuju lokasi kurang lebar sehingga kurang bisa cocok kalau ramai roda4, Airnya Bening Sekali, enak buat berenang, ada kamar mandi 3 namun agak kurang terawat mungkin karena pengelola lokal tidak ada plakat dikelola …",February 2024,positif
"Air kolamnya jernih banget, tetapi hati"" karena banyak bebatuan yang cukup tajam & ada lumut nya sehingga licin dan juga berhati"" apabila diatas jam 3 sore airnya mulai naik",February 2024,positif
"Jangan terlalu berekspektasi tinggi yah...
Tiket masuk 5rb/orang, parkir sepeda motor 3rb, sewa ban kecil 5rb, kamar mandi bayar (ganti baju 2rb). Dengan harga segitu udah cocok lah buat bikin video …",February 2024,netral
"Enak untuk hiling,murah juga tiket masuknya cuma 5 rb",February 2024,positif
"Destinasi wisata keluarga dgn harga tiket yg terjangkau untuk dewasa cuma 5 rb, untuk anak2 3 rb..parkirmotor 3 rb..dan mulai 14 juni ada wahana baru..kereta api mini dgn tiket cuma 10 rb perhari orang",February 2024,netral
Bagus,February 2024,positif
"Parkir 2000
Tiket masuk 5000
Sewa ban 5000 …",February 2024,netral
Ga berani renang di sini soalnya takut kalau ada hewan yang kyk menyeramkan gtu pokoknya takut dah 😱 …,February 2024,negatif
"Sumbernya jernih sekali, gazebo dan juga tempat makan tertata rapih dan bersih. 10/10 manajemen",February 2024,positif
Rileks,February 2024,positif
Bagus karena ada wahana baru kereta api di area persawahan😍 …,February 2024,positif
"Tiket Masuk Dewasa 5000, Parkir 3000 untuk motor, mobil 5000..

Airnya jernih, Ada kolam dewasa dan anak anak dipisah. …",February 2024,positif
Cocok untuk rekreasi keluarga tempatnya nyaman,February 2024,positif
"Semakin lama semakin baik dari segi fasilitas
Masih terasa adem dan asri, airnya juga masih bening, ganggang air nya apik bingits(para pengunjung juga perlu patuh aturan, dan wajib menjaganya ya gaes...) …",February 2024,positif
Wahana baru kreta sawah,February 2024,netral
"Air nya sangat jernih
Dan ada pembatas trumbu air untuk tempat tinggal ikan kecil..
Asli air segar",February 2024,positif
"Airnya bening, kedalaman air kurang lebih 1,5 meter",February 2024,positif
"TM terjangkau,  sejuk, natural, anak² bisa renang, out bond, stand kopi 👌👍.
Pasti kesana lagi nantik tunggu wahana yg baru 🙏 …",February 2024,positif
Mantap,February 2024,positif
"Luar biasa, airnya jernih, banyak ikan sama tanaman airnya. Terus ada wahana juga. Hanya saja agak kotor di tempat nongkrong 😅 …",February 2024,negatif
Perlu dipoles agar semakin diminati,February 2024,netral
Mantap,February 2024,positif
Air nya bening dan sumber nya baik,February 2024,positif
"cocok banget buat healing.
jalan menuju lokasi sangatlah mudah, air jernih. Soal makanan, disana banyak warung² jual aneka mie gorengan minuman jadi tidak perlu khawatir. …",February 2024,netral
"Main ke sini hari senin, tiba pk. 08.00, jadi pengunjung pertama. Sampai pk.10.00 baru ada pengunjung lagi. Suasana agk rame, dan masih adem.
Ada perbaikan, banyak tukang mengerjakan irigasi. Jadi tempatnya agak berantakan. Tiket masuk 5K, parkir mobil 10k (mahal)",February 2024,positif
Seru,February 2024,positif
Sangat menyenangkan dan puas 😍 …,February 2024,positif
Luangkan waktu mu rehat lah sejenak,February 2024,netral
"Tempat nyaman sejuk,tertata rapi",February 2024,positif
Adem banget tempatnya dan belum terlalu ramai pengunjung,February 2024,positif
Lek rene pas awan seger caak,February 2024,positif
Beming banget,February 2024,positif
"Nggak bisa di ungkapkan sih, tapi cobain dulu aja hehe",February 2024,netral
Mata air yang jernih dan indah,February 2024,positif
"Tempat wisata yang bagus, dapat berkunjung dengan pasangan atau keluarga dapat juga di gunakan camping",February 2024,positif
"Ya cocok untuk orang -orang yang prnasaran dan suka prmandian dari sumber air asli, kolamnya mrnyenangkan, banyak ikan² kecil, dasarnya banyak batu-batuan besar buat pijakan,hati2 ada yg tajam, srbagian berpasir",February 2024,positif
Sangat nyaman,February 2024,positif
Seger dan murah meriah,February 2024,positif
"Tempatnya bagus, airnya jernih dan tempatnya bersih. Harga tiket perorang 5k dan parkir motor 3k",February 2024,positif
Cocok buat liburan keluarga dengan lingkungan alam yang asri mudah dijangkau dan sangat terjangkau bagi semua kalangan...,February 2024,positif
"Sumber air yg indah banget ,bersih asli krasan banget ,mensyukuri nikmat Allah bener csntik sumber airnya",February 2024,positif
"Jalan menuju lokasi sumber sira cukup baik, tempatnya masih sepi dan belum banyak penjual oleh2. Makanan disana cukup murah, harga rujak cuma 7rb. Tempatnya bersih dan aman untuk anak2. Tersedia kolam khusus anak2 juga",February 2024,positif
Air sumber yang alami... Jernih,February 2024,positif
"Sungai yg biasa d akses warga untuk mandi, nyuci tp ada d ujung.
Sumber sira ada di atasnya,",February 2024,netral
"Bening mantap, suasana segar dikelilingi persawahan, bersih. Toilet dan tempat bilas juga bersih. Parkiran mobil cukup luas. …",February 2024,positif
Tempatnya Sejuk & Alami👍👍👍 …,February 2024,positif
"Bagus, airnya jernih jgn lupa nyelam guys, harga parkir lebih mahal daripada tiket masuk, mobil 10rb apa krn lebaran dimahalin ya",February 2024,positif
"Semoga keasrian tempat ini bisa terus terjaga. Sangat diharapkan pengunjung utk menjaga kebersihan dengan tdk membuang sampah sembaranga , krn saat saya berkunjung, kelihatan sampah berserakan di beberapa spot. Hidden gem di malang, wajib …",February 2024,negatif
Adem banget gokill,February 2024,negatif
Tempat rekreasi cocok buat keluarga..,February 2024,netral
"Tempatnya enak untuk berenang, airnya bersih dikelilingi persawahan",February 2024,positif
"Tempatnya cukup strategis, tidak jauh dari jalan utama. Jalan akses ke tempat juga aman, tidak rusak. Tempatnya cukup luas, parkiran juga cukup luas. Suasana nya enak. Disini ada tempat buat kolam anak kecil² juga.",February 2024,positif
"kolam anak2 bersih,, tempat permNdiannya adem dan jernih,, toilet bersih..makanan murah",February 2024,positif
Suasananya sejuk dan asri,February 2024,positif
"Jauhi minuman keras, hilangkan stres",February 2024,negatif
Bagus penyembuhannya....segar dan sejuk,February 2024,positif
"Keunggulan di tempat ini airnya yang jernih dan dingin.
Pemandangan pesawahan yang tidak ditemui di tempat lain sehjngga membuat kembali sperti ke masa kanak2 mandi di aliran sungai persawahan.",February 2024,positif
Oke,February 2024,netral
Udara terdingin di sana,February 2024,netral
"Akses mudah untuk motor, tapi klo mobil agak effort dikit trs parkirnya susah. HTM sama parkirnya murah terus airnya jernih. Klo pake kacamata bisa liat ikan2 sama tanaman air lupa namanya.",February 2024,negatif
"Sangat cocok untuk wisata akhir bulan. Sangat hemat.
Parkir mobil 10k
Tiket masuk dewasa 5k …",February 2024,positif
Bagus,February 2024,positif
bagus,February 2024,positif
Tempat wisata bahari air sungai yang juga bisa dijadikan wahana belajar hidrologi secara alami,February 2024,positif
Air masih alami dan makananya murah,February 2024,positif
"Lokasinya satu desa dgn pondok saya dulu
ponpes Raudlatul Ulum2",February 2024,netral
"Selain berenang, tidak ada hiburan lain di sini.",February 2024,positif
"Objek wisata baru, kolamnya bersih dan luas, airnya bening bersih. Cuman kurang tempat untuk meneduh kalo lagi hujan",February 2024,positif
Seger airnya,February 2024,positif
Joss,February 2024,positif
"Alhamdulillah tempatnya asik. Ada ruang ganti, lengkap pokoknya dan jalannya juga naik turun",February 2024,positif
Tempat yang mengagumkan,February 2024,positif
"Murah. Tapi tidak terlalu luas, hanya kolam itu aja. Airnya jernih. Banyak orang jualan",February 2024,positif
Fasilitas lebih di perbanyak,February 2024,netral
"Salah satu tempat wisata air yang ada di Kabupaten Malang. Lokasi tempat wisata ini agak masuk kedalam melalui jalanan yang pas untuk mobil pada umumnya. Jalanan yang dilalui dengan kondisi baik namun ada yang berbatu, namun menurut saya …",February 2024,positif
"Bersih, nyaman dan tenang",February 2023,positif
Suasananya enak banget menyatu dgn alam 🥰 …,February 2023,positif
"Lingkungan bersih, harga makanan dan minuman terjangkau. Hawa udara segar walaupun sdh siang-sore",February 2023,positif
Healing tipis,February 2023,netral
asri alami,February 2023,positif
Cukup baik,February 2023,positif
"Air sumber sira bener"" Jernih bersih, lokasi tidak jauh dari kota malang",February 2023,positif
"Terbilang bersih untuk tempat kolamnya. Di kolam besar ada ikan-ikan kecil yang bakal nemenin renang. Ada banyak kolam untuk berenang dan sungai yang bersih, aliran air terbilang deras. Meskipun dangkal tetap berharap hati-hati apalagi bawa …",February 2023,positif
Bagus tp kurang pengembangan,February 2023,negatif
Tempatnya cocok untuk liburan bersama teman ataupun keluarga😁👍 …,February 2023,positif
MANDIRI UTOMO TRANS Proses Muat Barang,February 2023,netral
Cukup dingin untuk menikmati cikopi namun ramai,February 2023,positif
"bersih, asri, enak buat healing. kurang banyak gazebo dan colokan listrik",February 2023,positif
sebaik yang saya harapkan,February 2023,positif
"Tempat yang mengerikan, tempat banyak pencuri dan pencuri",February 2023,negatif
"Enak buat santai
Sejuk
Air bersih",February 2023,positif
Sebuah tintisan tempat wisata kolam renang alami yg patut diapresiasi.,February 2023,positif
"Paling enak dateng ketika weekday, serasa kolam privat",February 2023,positif
Saya suka,February 2023,positif
Bagus,February 2023,positif
"Kemaren pas kesini sempat kelewatan jadi lewat yg jalan lain tembusan. Alhasil gak bayar tiket karena lewat jalur pemukiman, cuma kena parkir aja 3rb. Untuk loker penitipan barang 5rb, mandi 3rb, ganti 2rb. …",February 2023,positif
Airnya bening sekali. .sejuk ...dan yang pasti murah,February 2023,positif
Cantik,February 2023,positif
"Kalo kesini pagi bgt pas baru buka jd sepi buat foto underwater blom butek, dasarnya pasir soalnya.",February 2023,negatif
Adem tempatnya,February 2023,netral
Masih sangat alami,February 2023,positif
"hanya untuk yg mencintai kedalaman sih, sbb di luarnya B aja, view dalem airnya ciamik 🤩
B diluar, A++ didalam ❤️ …",February 2023,netral
Tiap penat aq dan anak anak pasti kesini buat hilangin penat...,February 2023,negatif
