wiI7pd,d4r55,rsqaWe,bulan_tahun
"Tempat wisata yg murah dan cukup nyaman,dan juga harga makanan yg murah tidak seperti harga makanan di tempat wisata pada umumya",Hihenk Aja1,11 bulan lalu,March 2024
Wisata sungai dengan alam dan udara sejuk,Eko Kodok,11 bulan lalu,March 2024
"Tempat wisata yg ramah lingkungan dan murah ... Airnya jernih karena berasal lgsg dari sumber mata air ,jdi free kaporit cuma berasa lebih dingin aja hehehe..untuk akses jalannya jga mudah dari malkot ke arah selatan pabrik gula krebet/ …",Alil Santoso,11 bulan lalu,March 2024
Murmer pokok e gas pol,ツItsyu,11 bulan lalu,March 2024
Kamar mandi kurang banyak.. please tambahin.. saking antriinya anakku sampe ngompol 2x..,Rosita Wati,11 bulan lalu,March 2024
"Penghilang penat bersama keluarga, parkir motor 3k, tiket masuk 5k,naik kereta sawah 10k.",Sigit Seputro,11 bulan lalu,March 2024
"Tiket murah meriah
Ada kolam anak2
Cuma kolam dewasa sepertinya kurang perawatan, agak kotor",abdul aziz,11 bulan lalu,March 2024
Bagus dan murah,Didik Santuso,11 bulan lalu,March 2024
Bersama keluarga lebih mantap,Bang Roni,11 bulan lalu,March 2024
"Datang ke sini pagi pagi banget jadi masih sepi terus sejuk. Waktu itu datang pertama kali jadi masih belom tahu kalo ada dua loket masuk, loket yang satunya masih ditutup jadi harus ke loket satunya yang posisinya ujung ke ujung. …",Diana Rizqi Shalsabila,11 bulan lalu,March 2024
"Masyaa Allah seneng bgt akhirnya bisa main kesini... airnya jernih, area bersih, tempat sampah dimana², parkiran jg luas, tiket murah bgt cm 5K/org, makanan juga variatif. Terawat bgt lah walaupun di Kabupaten. Next bakalan berangkat lebih pagi kalo kesini...",Ghaziya Hafidzah,11 bulan lalu,March 2024
"sayang brngktnya siang jd e ga bs ambil gambar bagus

klu pagi² enak suasananya …",Arif Rahman,11 bulan lalu,March 2024
Asik. Murah. Berenang dengan tanpa kaporit memang juara,Miftah Faridl,11 bulan lalu,March 2024
Airnya jernih dan seger..,Toni Setiawan,11 bulan lalu,March 2024
"Gak asyik,masak nyewa ban belum selesai udah di ambill,, sma tukang parkirnya tidak ramahh sekaliii",Ifa Ifa,11 bulan lalu,March 2024
"Tempat yang segar dan sejuk
Menarik juga karena ada kereta sawah
Kolam renang khusus anak …",Erlina Mayasari,11 bulan lalu,March 2024
"Htm murah meriah 5k, tiket naik kereta 10k 2x putaran 😅 parkir motor 3k, tempatnya juga masih alami, tempat juga luas, cocok untuk berenang 🏊🏻 …",Rendi Alfiantino,11 bulan lalu,March 2024
Tempatnya sangat bagus sekali,Fatimah Nganjuk,11 bulan lalu,March 2024
Airnya jernih & banyak wahana bermain buat anak²,Toko Mesin Solusindo,11 bulan lalu,March 2024
Tempatnya asik dan airnya sangat jernih karna asli langsung dari sumber mata airnya dan yang pasti bebas dari bahan kimia,Dinda tv,setahun lalu,February 2024
"Tepatnya bagus.
Cocok untuk liburan keluarga.
Saran saja untuk loker penitipan ditambah lagi.",Andryan C,setahun lalu,February 2024
"Sejuk, segar, bisa melepas penat. Ada jajanan kuliner: nasi jagung, tahu telor nasi, pop mie, dsb. Ada juga tempat khusus anak-anak. Ada kereta mini, bisa keliling sawah. Ada juga kebun binatang mini. …",Farrel Hafiz Aldwinarta,setahun lalu,February 2024
"Suka banget, seger.
Tiket masuk 5000/orang.
Sewa ban ada yang besar dan kecil. Kebetulan kesini sewa yg besar 7000/ban. …",Gabrielle Rattu,setahun lalu,February 2024
Keren,CAK_PON,setahun lalu,February 2024
"Citimewa,,, istimiwir,,, murah meriah dan mantap 👍👍 …",Bayu DSR 2010,setahun lalu,February 2024
Solusi berenang murah,Fakhril Ma'ruf,setahun lalu,February 2024
Mantap👍 …,Wawan Setyawan,setahun lalu,February 2024
"Tempatnya bagus dan luas, airnya jernih, cuman batuan di dasar airnya ada yang tajam jadi perlu hati2 biar ga sampai luka kayak saya",Khoirul Insan,setahun lalu,February 2024
Sumber airnya jernih. Terdapat kolam renang juga jika tidak ingin berenang sumber air. Ada flying fox tetapi saya tidak tahu apakah sudah dibuka atau belom. Wajib naik kereta sawah. Menarik,Amin Wijoyo,setahun lalu,February 2024
Seru sekali,Ingsiar Mahardika Siswoyo,setahun lalu,February 2024
"Salah satu wisata low budget di kabupaten Malang .
HTM hanya 5rb rupiah ,
Parkir 2rb rupiah, …",Nonna Anien,setahun lalu,February 2024
Recommended dan rasanya mantap. Harga juga terjangkau,jery erwod official,setahun lalu,February 2024
"tempatnya nyaman untuk liburan keluarga apalagi jika mengajak anak kecil
ada kolam renang khusus anak
banyak permainan untuk anak seperti kereta, atv, bebek kayuh dan odong² …",dina ayu,setahun lalu,February 2024
Airnya jernih,Rafika Indarti,setahun lalu,February 2024
"Saya baru pertama kali ke sini, suasananya cukup alami. Untuk yang tidak bisa berenang di sarankan mandi di kolam renang anak anak saja",Erik Junianto (Majun),setahun lalu,February 2024
"Hari rabu datang kesana tidak sebegitu rame, enak tenang dan damai, air masih jernih, untuk tiket masuk cuma 13rb 2 orang 1 motor",Ahsani Taqwim,setahun lalu,February 2024
"Oke buat yang pengen nyari suasana baru. Bisa liat persawahan, mandi di sungai yang jernih dan dingin. naik kereta bayar 10rb/orang 2x putaran, naik perahu Bebek 20rb se capeknya. Sayang banget fasilitas kamar bilas dan ganti cuma 1 ya …",Ikasari A. Nurrahmah,setahun lalu,February 2024
Tempat yang bagus untuk menghabiskan waktu di hari libur,haris islami,setahun lalu,February 2024
Mantap,Al team,setahun lalu,February 2024
Mantap banyak wahana dan tempatnya juga sangat recommended buat kumpul keluarga dan sejenak menghilangkan beban,unixkomputer,setahun lalu,February 2024
"Sumpah, buat snorkeling bagussssss. Sudah dipetak petakan juga area yg g boleh d buat renang. Bagussss. Next warung makan sama gorengannya diperbanyak",Ali Mudin,setahun lalu,February 2024
lumayan nyaman,sagini sagini,setahun lalu,February 2024
Lokasi strategis terjangkau view keren bagus,Nur Dian,setahun lalu,February 2024
"Tempat sejuk dan asri.
Sayang tempat ganti bajunya kurang..hingga harus antri..",Achmad Hilmi,setahun lalu,February 2024
Tempatnya bagus banyak perubahan setelahbterakhir ke sini,msuudik fatoni,setahun lalu,February 2024
Pemberdayaan masyarakat sekitar di sumber sirah efektif dan terlihat perubahan-perubahan positif untuk salah satu destinasi wisata di kab. Malang. Operator juga ramah dan profesional. Cuma mungkin saran untuk kolam renang anak kebersihan menurut saya perlu ditingkatkan. Overall Good Job pengelola Sumber Sirah,Singgih Prima Ananda,setahun lalu,February 2024
"Bagus tempatnya cocok buat sekedar main air, berenang, ataupun bersantai mengilangkan rasa jenuh. Harga tiket masuk 5k dan parkir 3k untuk motor",Viqi Al Wahyuddin,setahun lalu,February 2024
"Yg suka healing tempat alami ini rekom banget,, pas deket sawah2,

Cuman sayang mau jalan ke sumberny anya jalan menurun bgt,, apa balik naik nya bikin cavekk",Anike Retna,setahun lalu,February 2024
Lumayanlah buat ngilangin stres pikiran 😅 …,Maz ILUN,setahun lalu,February 2024
Tempatnya bagus,Eva NM,setahun lalu,February 2024
Segarnya,Suwandi,setahun lalu,February 2024
"Datang di hari Jumat jam 8 pagi. Pas tidak terlalu ramai.
Tiket 5rb/ orang dan 2rb/ kendaraan motor. …",Maruf Khudori,setahun lalu,February 2024
"Tiket murah, banyak wahana",Martha Wijaya,setahun lalu,February 2024
Tempat nya sangat luas dan bersih,rizky valentino,setahun lalu,February 2024
"Sumber alami yang segar, ada wahana baru seperti kereta sawah dll, cocok untuk liburan keluarga",Muhammad Badrus,setahun lalu,February 2024
Kolamnya kurang bersih,Widodo TG,setahun lalu,February 2024
Airnya segeerrr bangett,Ayuni Khf,setahun lalu,February 2024
"Sumber airnya jernih , seger suasanya enak banget , bawa keluarga oke
Tiket masuk 5rb
Parkir 3rb sepeda motor …",Marsya Naira,setahun lalu,February 2024
"Sebenarnya kalau ditata per segmen akan cukup bagus,hal yg mjd perhatian adalah soal kebersihan, krn sampah2 berserakan baik di pinggir sawah maupun di sumbernya, harus ada petugas yg rutin mengawasi pengunjung sambil membersihkan area rekreasi, penjual di dorong utk tdk menggunakan kemasan plastik/styrofoam",Wahyu Krisdianto,setahun lalu,February 2024
"Sumber sira adalah salah satu tempat wisata yang sangat sejuk sekali dan akses menuju ke tempatnya juga sangat mudah untuk kesini, sangat suka sekali dengan tempat pemandiannya di 🤩🤩 …",KP - MUKTASIM BILLA JELALUKDIN,setahun lalu,February 2024
"Cocok untuk healing bersama keluarga, murah tiketnya",Joko Lelono,setahun lalu,February 2024
Lumayan bagus,Sutriyani Arema,setahun lalu,February 2024
Sangat indah,Iqbal Ghozali,setahun lalu,February 2024
Lumayan happy sih buat referensi piknik bocil2,Luqman Affandy,setahun lalu,February 2024
"Terakhir kali ksni tempat nya masih lmyan asri dn alami, skrg sdh lmyan bnyk perubahan lebih banyak wahana dg harga terjangkau Kkrngannya d kebersihan sih perlu lebih d perhatikan lagi",Aisyah Amira,setahun lalu,February 2024
"Udah lama banget terakhir kesini sekitar 4 tahun yg lalu.

Sekarang ?? .. wow Guantengg abis 👍. Akses mobil mulus. Parkir lumayan lah ya 👍. …",Ozjix,setahun lalu,February 2024
"Jangan Ikut Jalan Ke arah Panjen klo gk pengen diarahin Googlemaps ke Kuburan, tapi klo sepeda moto bisa langsung smpe lewat kuburan trus sampe lokasi, mending lewat arah Turen Bisa Pake Mobil & Sepeda, Ingat hati2 Cuma Bayar parkir masuk gratis",Moch. Luthfi Hadi Utomo,setahun lalu,February 2024
"Kalau kesini lebih baik membawa tikar sendiri dari rumah
Saya kasih bintang 3 krn toilet cuma terbatas disatu titik kumpul.mau kencing harus antri nunggu lama dg orang yg bilas ganti baju.",nyun chanel,setahun lalu,February 2024
"Ada kolam renang untuk anak2
Tiket HTM 5rb/org
Wahana kereta sawah 10rb/org",Zane Ryu,setahun lalu,February 2024
"Wisata desa alternative, bisa untuk latihan snorkeling",Ardi Septiawan,setahun lalu,February 2024
"Wisata Alam dengan pemandangan sungai jernih serta persawahan, di sana kita dapat menaiki kereta sawah, ada pula kolam ikan koi di sana, tak hanya satu sungai, disana menyediakan banyak sungai, sehingga kita bisa leluasa berenang bersama keluarga.",Zuhriyah Naila,setahun lalu,February 2024
"Lokasinya lumayan jauh dari kota malang, tp akses jalannya enak dan mudah dicari sesuai map. Area wisatanya luassss, terkadang suka buat nge camp juga. …",Niswa Rais,setahun lalu,February 2024
"Tempat bagus, enak untuk renang",Aida Yunia,setahun lalu,February 2024
"Mata air alami, seger airnya",bagoes wicaksono,setahun lalu,February 2024
Bagus murah alami,Aning Lutfianto,setahun lalu,February 2024
Masih segar dingin airnya,Ahmadi Angling,setahun lalu,February 2024
Oke,Puspita Yuda,setahun lalu,February 2024
Seneng sih asri sejuk murah juga makanan juga murah anak senang hatipun tenang,Azahra zikra,setahun lalu,February 2024
"salah satu tempat yang sangat amat menarik,,
karena air nya sangat jernih,,
keseruan kita ada di link bawah ini …",okix pratama,setahun lalu,February 2024
tempat wisata yg murah juga lumayan bagus tempat nya ada kolam renang khusus anak kecil yg untuk dewasa msh blom ada ada kolam yg mata air nya dri sumber sepwrti sumber ada food court tapi pas kesnaa hanya brp saja yg buka keindahan alam yg …,Fit Fir,setahun lalu,February 2024
"Asik adem seger cuma yg tengah agak dalam jadi yg gabisa renang seperti saya agak kecewa karena gabisa eksplorasi di sumber ini
Tapi overall seru sih segeerrr pol adem banyak ikan jugak",zainul nichlany,setahun lalu,February 2024
"Berada di sini adalah sebuah perjalanan yang menghidupkan kembali semangat. Kolam renang yang disuplai oleh mata air alami ini memberikan pengalaman yang luar biasa. Ketika langkah pertama masuk ke dalam air, perbedaan yang langsung terasa …",PAWITRA GROUP,setahun lalu,February 2024
recomend banget nih gaiss✨✨,Alfi Kandou,setahun lalu,February 2024
Seger,Percetakan Restu jaya (Bpk. Arifin & Ibu Selvi),setahun lalu,February 2024
"Kolam alami yang indah, airnya jernih dan tidak terlalu dalam. Sisi jauh penuh dengan ikan. Mudah dijangkau, parkir murah, dan tiket masuk murah. Saat ini sedang mengerjakan fitur baru.",Petra Evison,setahun lalu,February 2024
Semoga beruntung....!!!!,Tyo Chandra,setahun lalu,February 2024
"Sangat baguss
Perlu ditingkatkan lagi",ALI WAFA,setahun lalu,February 2024
"Tempat berenang yg nyaman dgn kesegaran airnya yg bening dan sejuk di badan, sayangnya bagi org dewasa yg tidak bisa berenang harus berhati² karena di dasar kolam utk pijakan kaki tidak rata, sebagian ada yg dangkal dan sebagian lagi ada yg dalam",Tuso Waluyo,setahun lalu,February 2024
"segaaarrr, untuk saya yang ga bisa berenang lumayan nyaman ga terlalu dalam hehe",Faruhi Ahmada,setahun lalu,February 2024
"Salah tempat rekreasi sumber yang ada di daerah Gondanglegi, Kab. Malang menyajikan suasana pedesaan dan sumber air yg sangat jernih, tiket masuknya 5k per-org, parkir motor 3k",Fisal A.N,setahun lalu,February 2024
Tempat yang indah,Abdul Khoifan,setahun lalu,February 2024
Menyesap,04 APTANA,setahun lalu,February 2024
"Bening, enak buat berenang",Rikzan Failani,setahun lalu,February 2024
"Minggu kemarin kesini tiket per orang 5 ribu tiket sepeda motor 3rb, tempatnya adem cukup bersih , banyak tong sampah sehingga memudah kan pengunjung agar buang sampah pada tmptnya , air sumber juga bersih dan jernih, sangat cocok untuk …",ikutan masak,setahun lalu,February 2024
Wisata murmer dengan vibe menenangkan... tiket masuk hanya 5rb per org dan parkir 3rb untuk motor sangat worth it,Mama Cek,setahun lalu,February 2024
Sungai dgn mata air yang jernih,tri setiawan,setahun lalu,February 2024
"Membutuhkan lebih banyak fasilitas untuk mendukung,",joearesee see,setahun lalu,February 2024
Kereta sawahnya 10k 2x puteran. Yg di danau sumber siranya. Air jernih dingin. Tapi perlu hati2 bebatuan di bawah danau …,Dhila 96,setahun lalu,February 2024
Airnya super duper bening. Bagus. Sangat natural.,Ilham Sadewa,setahun lalu,February 2024
"kumpul"" asik",Chipon Dolor,setahun lalu,February 2024
"Susah cari warung,, kang parkir juga g mau arahin pas mobil qt mau keluar dah tau mau mobil mau plg gak d arah no byr mobil 10k htm 5000/orang",Ricka Evi,setahun lalu,February 2024
kamar mandi sedikit pdhl pengunjungnya membludak. yg lebih parah lagi wisata air tp kenapa kamar mandi bayar. baru kali ini sih wisata air tp ganti baju aja bayar. kurang terawat juga airnya. kesini sama anak sama suami. niat hati mau main …,Oki Sanjaya,setahun lalu,February 2024
"Pokoknya dtg jangan pas weekend, rame bgt. Tapi untungnya tempatnya luas jadi bisa sambil piknik atau naik kereta muter2 sawah dlu. Oh iya saran, barang berharga & barang yg sekiranya mudah diambil org mending taruh di loker (sewa). Soalnya …",Mahmudah,setahun lalu,February 2024
Airnya jernih sayang kurang terawat,sugeng santosa,setahun lalu,February 2024
"Airnya dalam ada kolam khusus anak anak, ada warung , bisa buat acara juga",Zayn_ALAbied,setahun lalu,February 2024
Harga bersahabat,Alvino Frozen,setahun lalu,February 2024
Klo anda dari luar kota klo tujuannya cm ke sini bakal kecewa krn view biasa saja persawahan lereng gunung. Ada bbrp bak kolam dan kolam alami. Ada kereta mini bagi anda yg ingin menikmati pemandangan dari atas sawah. Tersedia warung2 …,Fu Jr,setahun lalu,February 2024
Wisata alam yang sangat cocok pada saat musim kemarau. Sumber air yang sangat jernih dan cocok untuk sekedar berendam.,Pusat Marmer Tulungagung,setahun lalu,February 2024
Tempatnya nyaman,Pari Salim,setahun lalu,February 2024
"Suasananya sangat sejuk, asri dan nyaman.
Ada kolam khusus untuk anak² dan kereta api untuk berkeliling sawah. Cocok untuk liburan bersama keluarga, teman maupun pasangan. …",Radhisa Channel,setahun lalu,February 2024
Suasana yg sejuk dan nyaman di antara sumber dan persawahan,ichbal pw 5 tv,setahun lalu,February 2024
"Tempatnya nyaman, seger, barang aman walaupun ditinggal renang👍 tetap jaga keasriannya …",Iqbal Anandityo,setahun lalu,February 2024
wisata murah meriah dekat rumah,q _run,setahun lalu,February 2024
"Beli gorengan murah disana beli pop mie, nyenengin anak anak kecil naik kereta keliling sawah Abis renang disumber air jernih tanpa kaporit",NO 2,setahun lalu,February 2024
Bagus,Asril MK,setahun lalu,February 2024
"So far cukup menyenangkan mainnair disini. Tempatnya juga bersih, klo weekend cocok buat tempat libur bareng keluarga",SHUA,setahun lalu,February 2024
Mohon diperbaiki lagi untuk tempatnya supaya lebih banyak tempat bermain nya,Lina ChanneL,setahun lalu,February 2024
"Tempatnya nyaman cocok untuk bermain bersama keluarga ,,ada kolam renang untuk anak2 juga,,,,",Firsaimut,setahun lalu,February 2024
Salah satu pemandian sumber mata air di daerah Gondanglegi kabupaten Malang. Berjarak 40menit dari pusat kota malang membuat tempat ini cukup ramai didatangi oleh pengunjung dari sekitar kota dan kabupaten Malang. Akses masuk ke sumber sira …,Albert Given,setahun lalu,February 2024
Kolam untuk anak kecil nya panas.. Tidak ada tempat teduh untuk duduk sambil nunggu anak renang,ITA INDRIANI,setahun lalu,February 2024
Bagus....lumayan....hanya masalah sampah yg perlu diperhatikan....,Aris Sekok,setahun lalu,February 2024
"Akhirnya bisa mampir dimari, alternatif wisata air di malang, airnya bening bgt, suasananya sejuk, murah meriah juga, sayang gk ada yg jual kelapa muda..krn sepanjang jln menuju kesini byk tanaman kelapa..:)",INoz DM,setahun lalu,February 2024
Lumayan tempat rekrwasi murah pemandian air aumber,keris kris,setahun lalu,February 2024
"Wisata alam murah meriah. Harga tiket masuknya Rp.5000 untuk dewasa dan Rp.3000 untuk anak-anak, harga makanan yang dijual ga mahal, ada persewaan ban buat renang 5000 yang kecil dan 7000 yang besar, naik kereta sawah Rp.10.000 per orang …",Lia Apriana,setahun lalu,February 2024
"Wisata yang ga bikin jebol kantong

Anak2 suka …",dr. Uca Smart Family,setahun lalu,February 2024
Tempat bersndam yg murah dan bagus,Wahyou Di,setahun lalu,February 2024
Bagus buat diving,XANA !,setahun lalu,February 2024
"Tempat nyaman, murah",zainul arif,setahun lalu,February 2024
"Murah, Tempat agak luas, dingin dan kedalaman bervariasi",NaeMitz,setahun lalu,February 2024
keren,Ageng C,setahun lalu,February 2024
Kurang memuaskan,Muhammad Rizky,setahun lalu,February 2024
"Untuk mandi kalau hari Sabtu Minggu lumayan penuh, kalau mau main kereta sawah dibulan Oktober sekarang kan lagi panas cuacanya, jadinya kurang menikmati kalau ingin main saran untuk pengunjung bawa kacamata hitam supaya enak aja",jainal ilmy,setahun lalu,February 2024
Seger banget airnya...pemandangan jg sangat indah...asooooy pokoknya,Rifnu Daffa,setahun lalu,February 2024
"Tempatnya cukup menyenangkan buat main air yang tanpa kaporit, parkirnya juga lumayan luas... tapi sayang tiket toiletnya, tidak satu tarif... andai saja disediakan kamar ganti gratis, pasti bakal tambah rame pengunjungnya.",Anto Gimbul,setahun lalu,February 2024
"Tempat ramah keluarga dan murah meriah. Ada kereta listrik untuk anak-anak juga.
Airnya jernih dan lokasi cukup bersih.",Muhammad Ndaru Wibowo,setahun lalu,February 2024
Jajak pendapat air tawar,Faisyal Amri,setahun lalu,February 2024
"Tempatnya tidak terlalu ramai, airnya dingin, ada kereta api juga. Cocok untuk keluarga",mirna dyah,setahun lalu,February 2024
"Memang bagus jika sepi..leluasa..
Jika ramai terlalu sumpek..tidak nyaman",Mulyana Wati,setahun lalu,February 2024
Hiburan yang ekonomis,prabowo arik,setahun lalu,February 2024
"Masih banyak sampah, jarang ditemukan tempat sampah. Disarankan kesini di hari biasa supaya sepi. Harga tiket 5rb + parkir.",Sejati,setahun lalu,February 2024
Dingin sekali..,Esti Maria,setahun lalu,February 2024
"Murmer tpi berkesan
Sayang ada karaokenya kesanya jadi agak kurang pas
Apalagi yg nyanyi ( maaf ) perempuan yg agak  ga pass dilihhat anak2",ema dwi handoko,setahun lalu,February 2024
"Tiket masuk 5K dewasa 3K anak-anak
Semua warung disini harganya sangat normal, tidak ada yang mahal walaupun itu tempat wisata",Mangan Dolan,setahun lalu,February 2024
keren sekali,Lia Lia,setahun lalu,February 2024
"Temen"" yg baru mau ke sana, ini ada sedikit saran yg sangat bermanfaat inshaAllah..
Jd kalau bapak tukang parkir mengarahkan temen"" utk parkir di bawah bukan di …",Nurul Mutmainnah,setahun lalu,February 2024
Airnya jernih dan seger... Kebetulan pas gerimis... 😅 tapi seru sih... Karena cuti di hari kerja jadi kondisinya tidak terlalu ramai... Harga tiket juga terjangkau dan murah... Ada wahana kereta sawah juga bagi yg ingin berkunjung dengan buah hatinya... …,Afin M,setahun lalu,February 2024
Bagus,ilham Pelo,setahun lalu,February 2024
Pengelolaan wisata sangat bagus... tempat wisata dan area warung tertata dengan rapi,BLITAR TECHNO COMPUTER,setahun lalu,February 2024
"Ramai tapi tetap worth it buat kesini, airnya jernih suasana asri. Sekarang ada kereta-kereta an yang bisa kita naiki sambil menikmati pemandangan sawah dan sekitar sumber Sirah",Aulia Khvx,setahun lalu,February 2024
"tempatnya semakibn bersih, tiket masuk murah, airnya jernih",Annisa Dea,setahun lalu,February 2024
Enak buat santai,adin zahra,setahun lalu,February 2024
"seger banget airnya jernih, sudah ada pemandian untuk anak2 dan suasananya sejuk. worth it buat berenang santai dan piknik tipis tipis",Belagama,setahun lalu,February 2024
merakyat & fun,geRy cho - cho,setahun lalu,February 2024
"Suegir, aku tidak menyesal pergi” Aku segera datang kesini untuk mandi",Muhammad Saddam,setahun lalu,February 2024
"Kurang puas
Tolong pihak desa mendanai pembenahan untuk spot arum jeram yang berpotensi di jalur air sumber sirah ke selatan …",Adibila Sutrisnozahwa,setahun lalu,February 2024
"HTM sangat terjangkau, lokasi juga mudah ditempuh dan jalan memadai, tempat bersih, harga makanan di warung normal, pelayanan juga baik. Mungkin ditingkatkan atau ditambah lagi fasilitas2 penunjang lainnya",tezar dona,setahun lalu,February 2024
"Sumber Sira Putukrejo baru pertama kali tahun 2017, dengan lokasinya Putukrejo, Gondanglegi, Kabupaten Malang. Tiket masuknya dua ribu rupiah perorang, sewa ban lima ribu rupiah, loker tas seribu rupiah dan mandi dua ribu rupiah. Ada …",Adi Suryawan,setahun lalu,February 2024
Mengaji,abdullah kamal,setahun lalu,February 2024
"Tempatnya sejuk, tiket murah, cocok untuk piknik bareng keluarga",Langgeng Aji,setahun lalu,February 2024
Wahana wisata alam yg baguus,lht.fauzi Malang,setahun lalu,February 2024
Bersih dan air nya seger....tempat tertata rapi,Rakhmat Nugraha,setahun lalu,February 2024
Bagus...   Perlu dikembangkan,Joko Wahyudi,setahun lalu,February 2024
"Bagus dan bersih, murah meriah",Dani Widian,setahun lalu,February 2024
"Wisata yang cocok buat bawa kluarga tercinta 😍 👍👍lebih jelasnya cek video vlog saya ""Themat Sang Petualang"" …",Muhamad Soleh,setahun lalu,February 2024
Harga tiket masuknya per orang berapa ya,Evi Fitriana,setahun lalu,February 2024
Wisata sumber sira ini seperti kolam renang. Htm nya murah pakai banget. Airnya langsung dari sumber makanya namanya sumber sira. Airnya bening banget dingin dan seger banget. Untuk makanan du dalam tempat wisatanya juga masih sangat murah. …,L154 Yn,setahun lalu,February 2024
Air jernih alami,julian tigas Garinta,setahun lalu,February 2024
"Tempatnya mantap untuk biaya masuk hanya Rp 5k saja , untuk parkir 3k dan  mandi 3k sumber yg terkenal di malang dan ada spot naik kereta baru saja di bangun",Wiranto,setahun lalu,February 2024
"Murah, bersih. Disarankan membawa kacamata renang.",Fajar Faz,setahun lalu,February 2024
"Masih alam ya.
Sebagai wisata lokal ini cukup murah meriah , bisa berenang tanpa bahan kimia Kaporit",Eka Ardi Lazarus (EkaLazarus),setahun lalu,February 2024
Tempat asikk buat healing mumer...gak nyesel pokoe,Mohammad Yoez,setahun lalu,February 2024
Wisata sumber terbaik se Malang Raya,Arbi Firman,setahun lalu,February 2024
"Bagus
Cuma kurang terawat
Kamar mandi ga harus bayar seharusnya,secara lokasi di sumber air,masak bayar air buat buang air",dhika ajisatria,setahun lalu,February 2024
"Tempatnya sejuk, ada kolam renangnya, ada kereta sawah, bisa dijadikan refresh di akhir pekan",Mei Nurnafiani,setahun lalu,February 2024
"bagus, renang di alam. menyejukkan pikiran dari hiruk pikuk kota.",Zhafira Siwi Kusumaningtyas,setahun lalu,February 2024
"Parkir 3 rb, htm 5 rb per orang
Parkir motor di atas, dan sumbernya ada dibawah jadi lumayan effort jalannya
Kamar mandi bersih, tiap beraktivitas ada tarifnya sendiri, cuma ganti pun …",Dewi Novita Rachmayani,setahun lalu,February 2024
Lumayan bagus,Widarti Widarti,setahun lalu,February 2024
"Rekomendasi wisata murah tapi memuaskan. Akses jalan tidak sulit. Parkir motor 3k dan tiket masuk per@ hanya 5k. Bener-bener sejuk, walaupun udara panas tapi tetep seger rasanya. Apalagi kalo udh nyebur ke sumbernya, waaahhhh. Airnya sangat …",Raveina Rndrn,setahun lalu,February 2024
Kolam renangnya bagus 👍🏻 dan juga kereta sawahnya cocok untuk anak-anak. …,Chinintya S,setahun lalu,February 2024
"Air yang jernih, indah pemandangan nya",Haitham Assanuwi,setahun lalu,February 2024
bagus bersih,yara elvianaa,setahun lalu,February 2024
"Air nya jernih sekali, bagus buat sw,ig. Terjaga kelestarian nya, tempat nya luas, adem. Banyak pohon² rindang,, next time kesini lagi 😁 …",Oyenmpushikma,setahun lalu,February 2024
Kolam renang Alami,Solar Pertamina (Distributor Solar),setahun lalu,February 2024
"Tempat healing murah meriah di Kab. Malang. Kolam renang dengan air sumber yang suegernya minta ampun. Dan, ada yang baru juga di tempat ini; kereta sawah. Jadi gak perlu jauh jauh ke luar kota buat naik kereta sawah.",Rokib Ibrahim,setahun lalu,February 2024
"Sumber airnya jernih banget. Jumlah pengunjung saat weekend & hari libur nasional meningkat, sehingga sedikit lebih ramai dari hari biasa. Harga tiket masuk Rp5.000,00/ orang, parkir motor Rp3.000,00 mobil Rp10.000,00. Petugasnya ramah …",Franciskus Leo,setahun lalu,February 2024
Top lah...,Muhammad Hanafi,setahun lalu,February 2024
murah meriah,Lila Izza,setahun lalu,February 2024
"Air yang jernih dan sugar, bisa berenang bareng ikan dan melihat tanaman air. Kedalaman air bervariasi dari 1m sampai 2,5 m. Jika ingin berenang di area yang dangkat silahkan ambil sisi sebelah kiri dari tangga menuju sumber",Annisa Puspa Kirana,setahun lalu,February 2024
"Murah sii, tapi spot foto nya udh banyak yg rusak mungkin karena udh lama juga, minta diperbaharui 😁 …",شبان اليوم رجال الغد,setahun lalu,February 2024
"One of the best natural places in Malang. Tempat dengan pemberdayaan masyarakat lokal yang sangat keren. Selalu ada pembaharuan yg berarti untuk tempat ini seperti wahana keretaan, lemari penitipan, kamar mandi yg sepertinya ditambah, dll. …",Dzakwan Darussalam,setahun lalu,February 2024
Mantab untuk keluarga,Adam Taufan,setahun lalu,February 2024
"Kalau kebersihan lingkungan lebih diperhatikan tentu akan lebih menarik. Air sumbernya melimpah dan jernih. Kalau kesini hari kerja lebih sepi, jadi lebih leluasa menikmati suasana.",Apoy Awan,setahun lalu,February 2024
"Tempat pemandian alami,
Dengan nuansa alam yang sangat indah.
Saran saya mungkin lebih dik3lola lg dengan baik karena masih banyak potensi …",rangga prahadivta,setahun lalu,February 2024
Sejuk rindang indah,Imriti Saif,setahun lalu,February 2024
"Jalan ke arah mata air sumber sira dari arah malang kota tidak ada tanjakan atau turunan curam yang harus dilalui bs dengan motor atau mobil.
Untuk sampai kemata airnya hanya butuh jalan sedikit dr lokasi parkiran. …",bunga fratama,setahun lalu,February 2024
"Sumber mata air alam ada ikanya yang gak bokeh di ambili, sejuk ada kertanya area persawahan
Kolam untuk anak2 . …",Desaku Br47,setahun lalu,February 2024
bagus,giri harvianto,setahun lalu,February 2024
