wiI7pd,ulasan_clean,ulasan_normalisasi,ulasan_tokenizing,ulasan_stopwords,ulasan_stemming,ulasan_translate
"Tempatnya nyaman cocok untuk bermain bersama keluarga ,,ada kolam renang untuk anak2 juga,,,,",tempatnya nyaman cocok untuk bermain bersama keluarga ada kolam renang untuk anak juga,tempatnya nyaman cocok untuk bermain bersama keluarga ada kolam renang untuk anak juga,"['tempatnya', 'nyaman', 'cocok', 'untuk', 'bermain', 'bersama', 'keluarga', 'ada', 'kolam', 'renang', 'untuk', 'anak', 'juga']","['tempatnya', 'nyaman', 'cocok', 'bermain', 'keluarga', 'kolam', 'renang', 'anak']",tempat nyaman cocok main keluarga kolam renang anak,The place is comfortable suitable for playing with family there is a swimming pool for children too
Salah satu pemandian sumber mata air di daerah Gondanglegi kabupaten Malang. Berjarak 40menit dari pusat kota malang membuat tempat ini cukup ramai didatangi oleh pengunjung dari sekitar kota dan kabupaten Malang. Akses masuk ke sumber sira …,salah satu pemandian sumber mata air di daerah gondanglegi kabupaten malang berjarak menit dari pusat kota malang membuat tempat ini cukup ramai didatangi oleh pengunjung dari sekitar kota dan kabupaten malang akses masuk ke sumber sira,salah satu pemandian sumber mata air daerah gondanglegi kabupaten malang berjarak menit dari pusat kota malang membuat tempat ini cukup ramai didatangi oleh pengunjung dari sekitar kota dan kabupaten malang akses masuk sumber sira,"['salah', 'satu', 'pemandian', 'sumber', 'mata', 'air', 'daerah', 'gondanglegi', 'kabupaten', 'malang', 'berjarak', 'menit', 'dari', 'pusat', 'kota', 'malang', 'membuat', 'tempat', 'ini', 'cukup', 'ramai', 'didatangi', 'oleh', 'pengunjung', 'dari', 'sekitar', 'kota', 'dan', 'kabupaten', 'malang', 'akses', 'masuk', 'sumber', 'sira']","['salah', 'pemandian', 'sumber', 'mata', 'air', 'daerah', 'gondanglegi', 'kabupaten', 'malang', 'berjarak', 'menit', 'pusat', 'kota', 'malang', 'ramai', 'didatangi', 'pengunjung', 'kota', 'kabupaten', 'malang', 'akses', 'masuk', 'sumber', 'sira']",salah mandi sumber mata air daerah gondanglegi kabupaten malang jarak menit pusat kota malang ramai datang unjung kota kabupaten malang akses masuk sumber sira,"One of the Gondanglegi area of ​​Malang Regency, is a minute from the center of Malang, making this place quite crowded by visitors from around the city and Malang Regency, access to Sumber Sira."
Kolam untuk anak kecil nya panas.. Tidak ada tempat teduh untuk duduk sambil nunggu anak renang,kolam untuk anak kecil nya panas tidak ada tempat teduh untuk duduk sambil nunggu anak renang,kolam untuk anak kecil panas tidak ada tempat teduh untuk duduk sambil nunggu anak renang,"['kolam', 'untuk', 'anak', 'kecil', 'panas', 'tidak', 'ada', 'tempat', 'teduh', 'untuk', 'duduk', 'sambil', 'nunggu', 'anak', 'renang']","['kolam', 'anak', 'panas', 'teduh', 'duduk', 'nunggu', 'anak', 'renang']",kolam anak panas teduh duduk nunggu anak renang,pool for hot children there is no shady place to sit while waiting for a swimming child
Bagus....lumayan....hanya masalah sampah yg perlu diperhatikan....,baguslumayanhanya masalah sampah yg perlu diperhatikan,bagus lumayan hanya masalah sampah yang perlu diperhatikan,"['bagus', 'lumayan', 'hanya', 'masalah', 'sampah', 'yang', 'perlu', 'diperhatikan']","['bagus', 'lumayan', 'sampah', 'diperhatikan']",bagus lumayan sampah perhati,Good is just a problem of garbage that needs attention
"Akhirnya bisa mampir dimari, alternatif wisata air di malang, airnya bening bgt, suasananya sejuk, murah meriah juga, sayang gk ada yg jual kelapa muda..krn sepanjang jln menuju kesini byk tanaman kelapa..:)",akhirnya bisa mampir dimari alternatif wisata air di malang airnya bening bgt suasananya sejuk murah meriah juga sayang gk ada yg jual kelapa mudakrn sepanjang jln menuju kesini byk tanaman kelapa,akhirnya bisa mampir dimari alternatif wisata air malang airnya bening sangat suasananya sejuk murah meriah juga sayang tidak ada yang jual kelapa muda karena sepanjang jalan menuju kesini banyak tanaman kelapa,"['akhirnya', 'bisa', 'mampir', 'dimari', 'alternatif', 'wisata', 'air', 'malang', 'airnya', 'bening', 'sangat', 'suasananya', 'sejuk', 'murah', 'meriah', 'juga', 'sayang', 'tidak', 'ada', 'yang', 'jual', 'kelapa', 'muda', 'karena', 'sepanjang', 'jalan', 'menuju', 'kesini', 'banyak', 'tanaman', 'kelapa']","['mampir', 'dimari', 'alternatif', 'wisata', 'air', 'malang', 'airnya', 'bening', 'suasananya', 'sejuk', 'murah', 'meriah', 'sayang', 'jual', 'kelapa', 'muda', 'jalan', 'kesini', 'tanaman', 'kelapa']",mampir mari alternatif wisata air malang air bening suasana sejuk murah riah sayang jual kelapa muda jalan kesini tanam kelapa,"Finally, I can stop by at an alternative to Malang water tourism, the water is very clear, the atmosphere is cool cheap, too, unfortunately no one sells young coconuts because along the road to come here many coconut plants"
Lumayan tempat rekrwasi murah pemandian air aumber,lumayan tempat rekrwasi murah pemandian air aumber,lumayan tempat rekreasi murah pemandian air sumber,"['lumayan', 'tempat', 'rekreasi', 'murah', 'pemandian', 'air', 'sumber']","['lumayan', 'rekreasi', 'murah', 'pemandian', 'air', 'sumber']",lumayan rekreasi murah mandi air sumber,Pretty good place for cheap recreation of water baths
"Wisata alam murah meriah. Harga tiket masuknya Rp.5000 untuk dewasa dan Rp.3000 untuk anak-anak, harga makanan yang dijual ga mahal, ada persewaan ban buat renang 5000 yang kecil dan 7000 yang besar, naik kereta sawah Rp.10.000 per orang …",wisata alam murah meriah harga tiket masuknya rp untuk dewasa dan rp untuk anakanak harga makanan yang dijual ga mahal ada persewaan ban buat renang yang kecil dan yang besar naik kereta sawah rp per orang,wisata alam murah meriah harga tiket masuknya rupiah untuk dewasa dan rupiah untuk anak anak harga makanan yang dijual tidak mahal ada persewaan ban untuk renang yang kecil dan yang besar naik kereta sawah rupiah orang,"['wisata', 'alam', 'murah', 'meriah', 'harga', 'tiket', 'masuknya', 'rupiah', 'untuk', 'dewasa', 'dan', 'rupiah', 'untuk', 'anak', 'anak', 'harga', 'makanan', 'yang', 'dijual', 'tidak', 'mahal', 'ada', 'persewaan', 'ban', 'untuk', 'renang', 'yang', 'kecil', 'dan', 'yang', 'besar', 'naik', 'kereta', 'sawah', 'rupiah', 'orang']","['wisata', 'alam', 'murah', 'meriah', 'harga', 'tiket', 'masuknya', 'rupiah', 'dewasa', 'rupiah', 'anak', 'anak', 'harga', 'makanan', 'dijual', 'mahal', 'persewaan', 'ban', 'renang', 'kereta', 'sawah', 'rupiah', 'orang']",wisata alam murah riah harga tiket masuk rupiah dewasa rupiah anak anak harga makan jual mahal sewa ban renang kereta sawah rupiah orang,"Cheap Nature Tourism The price of admission tickets for adults and rupiah for children the price of food sold is not expensive, there are tire rentals for small swimming and large ones ride rupiah trains rupiah people"
"Wisata yang ga bikin jebol kantong

Anak2 suka …",wisata yang ga bikin jebol kantong anak suka,wisata yang tidak bikin jebol kantong anak suka,"['wisata', 'yang', 'tidak', 'bikin', 'jebol', 'kantong', 'anak', 'suka']","['wisata', 'bikin', 'jebol', 'kantong', 'anak', 'suka']",wisata bikin jebol kantong anak suka,tours that do not make a broken pocket of children like
Tempat bersndam yg murah dan bagus,tempat bersndam yg murah dan bagus,tempat berendam yang murah dan bagus,"['tempat', 'berendam', 'yang', 'murah', 'dan', 'bagus']","['berendam', 'murah', 'bagus']",rendam murah bagus,cheap and good soaking places
Bagus buat diving,bagus buat diving,bagus untuk diving,"['bagus', 'untuk', 'diving']","['bagus', 'diving']",bagus diving,good for diving
"Tempat nyaman, murah",tempat nyaman murah,tempat nyaman murah,"['tempat', 'nyaman', 'murah']","['nyaman', 'murah']",nyaman murah,Cheap comfortable place
"Murah, Tempat agak luas, dingin dan kedalaman bervariasi",murah tempat agak luas dingin dan kedalaman bervariasi,murah tempat agak luas dingin dan kedalaman bervariasi,"['murah', 'tempat', 'agak', 'luas', 'dingin', 'dan', 'kedalaman', 'bervariasi']","['murah', 'luas', 'dingin', 'kedalaman', 'bervariasi']",murah luas dingin dalam variasi,cheap places rather wide cold and depth varies
keren,keren,keren,['keren'],['keren'],keren,keren
Kurang memuaskan,kurang memuaskan,kurang memuaskan,"['kurang', 'memuaskan']",['memuaskan'],muas,less satisfactory
"Untuk mandi kalau hari Sabtu Minggu lumayan penuh, kalau mau main kereta sawah dibulan Oktober sekarang kan lagi panas cuacanya, jadinya kurang menikmati kalau ingin main saran untuk pengunjung bawa kacamata hitam supaya enak aja",untuk mandi kalau hari sabtu minggu lumayan penuh kalau mau main kereta sawah dibulan oktober sekarang kan lagi panas cuacanya jadinya kurang menikmati kalau ingin main saran untuk pengunjung bawa kacamata hitam supaya enak aja,untuk mandi kalau hari sabtu minggu lumayan penuh kalau mau main kereta sawah dibulan oktober sekarang lagi panas cuacanya jadinya kurang menikmati kalau ingin main saran untuk pengunjung bawa kacamata hitam supaya enak saja,"['untuk', 'mandi', 'kalau', 'hari', 'sabtu', 'minggu', 'lumayan', 'penuh', 'kalau', 'mau', 'main', 'kereta', 'sawah', 'dibulan', 'oktober', 'sekarang', 'lagi', 'panas', 'cuacanya', 'jadinya', 'kurang', 'menikmati', 'kalau', 'ingin', 'main', 'saran', 'untuk', 'pengunjung', 'bawa', 'kacamata', 'hitam', 'supaya', 'enak', 'saja']","['mandi', 'sabtu', 'minggu', 'lumayan', 'penuh', 'main', 'kereta', 'sawah', 'dibulan', 'oktober', 'panas', 'cuacanya', 'menikmati', 'main', 'saran', 'pengunjung', 'bawa', 'kacamata', 'hitam', 'enak']",mandi sabtu minggu lumayan penuh main kereta sawah bulan oktober panas cuaca nikmat main saran unjung bawa kacamata hitam enak,"to take a shower if Saturday Sundays are quite full if you want to play the paddy train in October, now the hot weather will not enjoy if you want to play suggestions for visitors to bring sunglasses to make it delicious"
Seger banget airnya...pemandangan jg sangat indah...asooooy pokoknya,seger banget airnyapemandangan jg sangat indahasooooy pokoknya,segar sangat airnya pemandangan juga sangat indah pokoknya,"['segar', 'sangat', 'airnya', 'pemandangan', 'juga', 'sangat', 'indah', 'pokoknya']","['segar', 'airnya', 'pemandangan', 'indah', 'pokoknya']",segar air pandang indah pokok,"very fresh the water is also very beautiful, anyway"
"Tempatnya cukup menyenangkan buat main air yang tanpa kaporit, parkirnya juga lumayan luas... tapi sayang tiket toiletnya, tidak satu tarif... andai saja disediakan kamar ganti gratis, pasti bakal tambah rame pengunjungnya.",tempatnya cukup menyenangkan buat main air yang tanpa kaporit parkirnya juga lumayan luas tapi sayang tiket toiletnya tidak satu tarif andai saja disediakan kamar ganti gratis pasti bakal tambah rame pengunjungnya,tempatnya cukup menyenangkan untuk main air yang tanpa kaporit parkirnya juga lumayan luas tapi sayang tiket toiletnya tidak satu tarif andai saja disediakan kamar ganti gratis pasti bakal tambah ramai pengunjungnya,"['tempatnya', 'cukup', 'menyenangkan', 'untuk', 'main', 'air', 'yang', 'tanpa', 'kaporit', 'parkirnya', 'juga', 'lumayan', 'luas', 'tapi', 'sayang', 'tiket', 'toiletnya', 'tidak', 'satu', 'tarif', 'andai', 'saja', 'disediakan', 'kamar', 'ganti', 'gratis', 'pasti', 'bakal', 'tambah', 'ramai', 'pengunjungnya']","['tempatnya', 'menyenangkan', 'main', 'air', 'kaporit', 'parkirnya', 'lumayan', 'luas', 'sayang', 'tiket', 'toiletnya', 'tarif', 'andai', 'disediakan', 'kamar', 'ganti', 'gratis', 'ramai', 'pengunjungnya']",tempat senang main air kaporit parkir lumayan luas sayang tiket toilet tarif andai sedia kamar ganti gratis ramai unjung,The place is quite pleasant to play water without a parking parking is also quite spacious but unfortunately the toilet ticket is not one rate if only provided a free changing room will definitely be more crowded with visitors
"Tempat ramah keluarga dan murah meriah. Ada kereta listrik untuk anak-anak juga.
Airnya jernih dan lokasi cukup bersih.",tempat ramah keluarga dan murah meriah ada kereta listrik untuk anakanak juga airnya jernih dan lokasi cukup bersih,tempat ramah keluarga dan murah meriah ada kereta listrik untuk anak anak juga airnya jernih dan lokasi cukup bersih,"['tempat', 'ramah', 'keluarga', 'dan', 'murah', 'meriah', 'ada', 'kereta', 'listrik', 'untuk', 'anak', 'anak', 'juga', 'airnya', 'jernih', 'dan', 'lokasi', 'cukup', 'bersih']","['ramah', 'keluarga', 'murah', 'meriah', 'kereta', 'listrik', 'anak', 'anak', 'airnya', 'jernih', 'lokasi', 'bersih']",ramah keluarga murah riah kereta listrik anak anak air jernih lokasi bersih,Family friendly and cheap places there is an electric train for children as well as clear water and the location is quite clean
Jajak pendapat air tawar,jajak pendapat air tawar,jajak pendapat air tawar,"['jajak', 'pendapat', 'air', 'tawar']","['jajak', 'pendapat', 'air', 'tawar']",jajak dapat air tawar,freshwater poll
"Tempatnya tidak terlalu ramai, airnya dingin, ada kereta api juga. Cocok untuk keluarga",tempatnya tidak terlalu ramai airnya dingin ada kereta api juga cocok untuk keluarga,tempatnya tidak terlalu ramai airnya dingin ada kereta api juga cocok untuk keluarga,"['tempatnya', 'tidak', 'terlalu', 'ramai', 'airnya', 'dingin', 'ada', 'kereta', 'api', 'juga', 'cocok', 'untuk', 'keluarga']","['tempatnya', 'ramai', 'airnya', 'dingin', 'kereta', 'api', 'cocok', 'keluarga']",tempat ramai air dingin kereta api cocok keluarga,The place is not too crowded with cold water there is a train is also suitable for the family
"Memang bagus jika sepi..leluasa..
Jika ramai terlalu sumpek..tidak nyaman",memang bagus jika sepileluasa jika ramai terlalu sumpektidak nyaman,memang bagus jika sepi leluasa jika ramai terlalu jenuh tidak nyaman,"['memang', 'bagus', 'jika', 'sepi', 'leluasa', 'jika', 'ramai', 'terlalu', 'jenuh', 'tidak', 'nyaman']","['bagus', 'sepi', 'leluasa', 'ramai', 'jenuh', 'nyaman']",bagus sepi leluasa ramai jenuh nyaman,it is good if it's quiet free if it's crowded too uncomfortable
Hiburan yang ekonomis,hiburan yang ekonomis,hiburan yang ekonomis,"['hiburan', 'yang', 'ekonomis']","['hiburan', 'ekonomis']",hibur ekonomis,Economical entertainment
"Masih banyak sampah, jarang ditemukan tempat sampah. Disarankan kesini di hari biasa supaya sepi. Harga tiket 5rb + parkir.",masih banyak sampah jarang ditemukan tempat sampah disarankan kesini di hari biasa supaya sepi harga tiket rb parkir,masih banyak sampah jarang ditemukan tempat sampah disarankan kesini hari biasa supaya sepi harga tiket ribu parkir,"['masih', 'banyak', 'sampah', 'jarang', 'ditemukan', 'tempat', 'sampah', 'disarankan', 'kesini', 'hari', 'biasa', 'supaya', 'sepi', 'harga', 'tiket', 'ribu', 'parkir']","['sampah', 'jarang', 'ditemukan', 'sampah', 'disarankan', 'kesini', 'sepi', 'harga', 'tiket', 'ribu', 'parkir']",sampah jarang temu sampah saran kesini sepi harga tiket ribu parkir,"There are still a lot of garbage, it is rarely found that the trash can be advised to come here normal days so that the price of a thousand parking ticket is quiet"
Dingin sekali..,dingin sekali,dingin sekali,"['dingin', 'sekali']",['dingin'],dingin,very cold
"Murmer tpi berkesan
Sayang ada karaokenya kesanya jadi agak kurang pas
Apalagi yg nyanyi ( maaf ) perempuan yg agak  ga pass dilihhat anak2",murmer tpi berkesan sayang ada karaokenya kesanya jadi agak kurang pas apalagi yg nyanyi maaf perempuan yg agak ga pass dilihhat anak,murah meriah tapi berkesan sayang ada karaokenya kesannya jadi agak kurang saat apalagi yang nyanyi maaf perempuan yang agak tidak cocok dilihat anak,"['murah', 'meriah', 'tapi', 'berkesan', 'sayang', 'ada', 'karaokenya', 'kesannya', 'jadi', 'agak', 'kurang', 'saat', 'apalagi', 'yang', 'nyanyi', 'maaf', 'perempuan', 'yang', 'agak', 'tidak', 'cocok', 'dilihat', 'anak']","['murah', 'meriah', 'berkesan', 'sayang', 'karaokenya', 'kesannya', 'nyanyi', 'maaf', 'perempuan', 'cocok', 'anak']",murah riah kesan sayang karaoke kesan nyanyi maaf perempuan cocok anak,cheap but memorable dear there is a karaoke impression so it is somewhat lacking when especially those who sing sorry women who are somewhat unsuitable for children
"Tiket masuk 5K dewasa 3K anak-anak
Semua warung disini harganya sangat normal, tidak ada yang mahal walaupun itu tempat wisata",tiket masuk dewasa anakanak semua warung disini harganya sangat normal tidak ada yang mahal walaupun itu tempat wisata,tiket masuk dewasa anak anak semua warung disini harganya sangat normal tidak ada yang mahal walaupun itu tempat wisata,"['tiket', 'masuk', 'dewasa', 'anak', 'anak', 'semua', 'warung', 'disini', 'harganya', 'sangat', 'normal', 'tidak', 'ada', 'yang', 'mahal', 'walaupun', 'itu', 'tempat', 'wisata']","['tiket', 'masuk', 'dewasa', 'anak', 'anak', 'warung', 'harganya', 'normal', 'mahal', 'wisata']",tiket masuk dewasa anak anak warung harga normal mahal wisata,"Adult admission tickets for children all stalls here are very normal, there is nothing expensive even though it's a tourist spot"
keren sekali,keren sekali,keren sekali,"['keren', 'sekali']",['keren'],keren,very cool
"Temen"" yg baru mau ke sana, ini ada sedikit saran yg sangat bermanfaat inshaAllah..
Jd kalau bapak tukang parkir mengarahkan temen"" utk parkir di bawah bukan di …",temen yg baru mau ke sana ini ada sedikit saran yg sangat bermanfaat inshaallah jd kalau bapak tukang parkir mengarahkan temen utk parkir di bawah bukan di,teman yang baru mau sana ini ada sedikit saran yang sangat bermanfaat jadi kalau bapak tukang parkir mengarahkan teman untuk parkir bawah bukan,"['teman', 'yang', 'baru', 'mau', 'sana', 'ini', 'ada', 'sedikit', 'saran', 'yang', 'sangat', 'bermanfaat', 'jadi', 'kalau', 'bapak', 'tukang', 'parkir', 'mengarahkan', 'teman', 'untuk', 'parkir', 'bawah', 'bukan']","['teman', 'saran', 'bermanfaat', 'tukang', 'parkir', 'mengarahkan', 'teman', 'parkir']",teman saran manfaat tukang parkir arah teman parkir,This new friend wants a little suggestion that is very useful so if the parking attendant directs friends to park below
Airnya jernih dan seger... Kebetulan pas gerimis... 😅 tapi seru sih... Karena cuti di hari kerja jadi kondisinya tidak terlalu ramai... Harga tiket juga terjangkau dan murah... Ada wahana kereta sawah juga bagi yg ingin berkunjung dengan buah hatinya... …,airnya jernih dan seger kebetulan pas gerimis tapi seru sih karena cuti di hari kerja jadi kondisinya tidak terlalu ramai harga tiket juga terjangkau dan murah ada wahana kereta sawah juga bagi yg ingin berkunjung dengan buah hatinya,airnya jernih dan segar kebetulan saat gerimis tapi seru karena cuti hari kerja jadi kondisinya tidak terlalu ramai harga tiket juga terjangkau dan murah ada wahana kereta sawah juga bagi yang ingin berkunjung dengan buah hatinya,"['airnya', 'jernih', 'dan', 'segar', 'kebetulan', 'saat', 'gerimis', 'tapi', 'seru', 'karena', 'cuti', 'hari', 'kerja', 'jadi', 'kondisinya', 'tidak', 'terlalu', 'ramai', 'harga', 'tiket', 'juga', 'terjangkau', 'dan', 'murah', 'ada', 'wahana', 'kereta', 'sawah', 'juga', 'bagi', 'yang', 'ingin', 'berkunjung', 'dengan', 'buah', 'hatinya']","['airnya', 'jernih', 'segar', 'gerimis', 'seru', 'cuti', 'kerja', 'kondisinya', 'ramai', 'harga', 'tiket', 'terjangkau', 'murah', 'wahana', 'kereta', 'sawah', 'berkunjung', 'buah', 'hatinya']",air jernih segar gerimis seru cuti kerja kondisi ramai harga tiket jangkau murah wahana kereta sawah kunjung buah hati,The water is clear and fresh coincidence when drizzling but exciting because of work day leave so the condition is not too crowded the price of the ticket is also affordable and cheap there is a rides of the Sawah train as well for those who want to visit with their baby
Bagus,bagus,bagus,['bagus'],['bagus'],bagus,Good
Pengelolaan wisata sangat bagus... tempat wisata dan area warung tertata dengan rapi,pengelolaan wisata sangat bagus tempat wisata dan area warung tertata dengan rapi,pengelolaan wisata sangat bagus tempat wisata dan area warung tertata dengan rapi,"['pengelolaan', 'wisata', 'sangat', 'bagus', 'tempat', 'wisata', 'dan', 'area', 'warung', 'tertata', 'dengan', 'rapi']","['pengelolaan', 'wisata', 'bagus', 'wisata', 'area', 'warung', 'tertata', 'rapi']",kelola wisata bagus wisata area warung tata rapi,Tourism management is very good tourist attractions and neatly arranged stall areas
"Ramai tapi tetap worth it buat kesini, airnya jernih suasana asri. Sekarang ada kereta-kereta an yang bisa kita naiki sambil menikmati pemandangan sawah dan sekitar sumber Sirah",ramai tapi tetap worth it buat kesini airnya jernih suasana asri sekarang ada keretakereta an yang bisa kita naiki sambil menikmati pemandangan sawah dan sekitar sumber sirah,ramai tapi tetap worth it untuk kesini airnya jernih suasana asri sekarang ada kereta kereta yang bisa kita naiki sambil menikmati pemandangan sawah dan sekitar sumber sirah,"['ramai', 'tapi', 'tetap', 'worth', 'it', 'untuk', 'kesini', 'airnya', 'jernih', 'suasana', 'asri', 'sekarang', 'ada', 'kereta', 'kereta', 'yang', 'bisa', 'kita', 'naiki', 'sambil', 'menikmati', 'pemandangan', 'sawah', 'dan', 'sekitar', 'sumber', 'sirah']","['ramai', 'worth', 'it', 'kesini', 'airnya', 'jernih', 'suasana', 'asri', 'kereta', 'kereta', 'naiki', 'menikmati', 'pemandangan', 'sawah', 'sumber', 'sirah']",ramai worth it kesini air jernih suasana asri kereta kereta naik nikmat pandang sawah sumber sirah,crowded but still worth it to come here the water is clear at the beautiful atmosphere now there is a train that we can ride while enjoying the views of the rice fields and around the source sirah
"tempatnya semakibn bersih, tiket masuk murah, airnya jernih",tempatnya semakibn bersih tiket masuk murah airnya jernih,tempatnya semakibn bersih tiket masuk murah airnya jernih,"['tempatnya', 'semakibn', 'bersih', 'tiket', 'masuk', 'murah', 'airnya', 'jernih']","['tempatnya', 'semakibn', 'bersih', 'tiket', 'masuk', 'murah', 'airnya', 'jernih']",tempat semakibn bersih tiket masuk murah air jernih,"The place is getting cleaner the ticket is cheap, the water is clear"
Enak buat santai,enak buat santai,enak untuk santai,"['enak', 'untuk', 'santai']","['enak', 'santai']",enak santai,good to relax
"seger banget airnya jernih, sudah ada pemandian untuk anak2 dan suasananya sejuk. worth it buat berenang santai dan piknik tipis tipis",seger banget airnya jernih sudah ada pemandian untuk anak dan suasananya sejuk worth it buat berenang santai dan piknik tipis tipis,segar sangat airnya jernih sudah ada pemandian untuk anak dan suasananya sejuk worth it untuk berenang santai dan piknik tipis tipis,"['segar', 'sangat', 'airnya', 'jernih', 'sudah', 'ada', 'pemandian', 'untuk', 'anak', 'dan', 'suasananya', 'sejuk', 'worth', 'it', 'untuk', 'berenang', 'santai', 'dan', 'piknik', 'tipis', 'tipis']","['segar', 'airnya', 'jernih', 'pemandian', 'anak', 'suasananya', 'sejuk', 'worth', 'it', 'berenang', 'santai', 'piknik', 'tipis', 'tipis']",segar air jernih mandi anak suasana sejuk worth it renang santai piknik tipis tipis,"Fresh water is very clear, there is a bath for children and the atmosphere is cool worth it for swimming casually and thin thin picnics"
merakyat & fun,merakyat fun,merakyat fun,"['merakyat', 'fun']","['merakyat', 'fun']",rakyat fun,Popular fun
"Suegir, aku tidak menyesal pergi” Aku segera datang kesini untuk mandi",suegir aku tidak menyesal pergi aku segera datang kesini untuk mandi,segar aku tidak menyesal pergi aku segera datang kesini untuk mandi,"['segar', 'aku', 'tidak', 'menyesal', 'pergi', 'aku', 'segera', 'datang', 'kesini', 'untuk', 'mandi']","['segar', 'menyesal', 'pergi', 'kesini', 'mandi']",segar sesal pergi kesini mandi,fresh I don't regret going I immediately came here to take a shower
"Kurang puas
Tolong pihak desa mendanai pembenahan untuk spot arum jeram yang berpotensi di jalur air sumber sirah ke selatan …",kurang puas tolong pihak desa mendanai pembenahan untuk spot arum jeram yang berpotensi di jalur air sumber sirah ke selatan,kurang puas tolong pihak desa mendanai pembenahan untuk spot arum jeram yang berpotensi jalur air sumber sirah selatan,"['kurang', 'puas', 'tolong', 'pihak', 'desa', 'mendanai', 'pembenahan', 'untuk', 'spot', 'arum', 'jeram', 'yang', 'berpotensi', 'jalur', 'air', 'sumber', 'sirah', 'selatan']","['puas', 'tolong', 'desa', 'mendanai', 'pembenahan', 'spot', 'arum', 'jeram', 'berpotensi', 'jalur', 'air', 'sumber', 'sirah', 'selatan']",puas tolong desa dana benah spot arum jeram potensi jalur air sumber sirah selatan,"Not satisfied, please help the village funding improvements for the rafting spots that have the potential for the Sumber Sirah Selatan Sumber"
"HTM sangat terjangkau, lokasi juga mudah ditempuh dan jalan memadai, tempat bersih, harga makanan di warung normal, pelayanan juga baik. Mungkin ditingkatkan atau ditambah lagi fasilitas2 penunjang lainnya",htm sangat terjangkau lokasi juga mudah ditempuh dan jalan memadai tempat bersih harga makanan di warung normal pelayanan juga baik mungkin ditingkatkan atau ditambah lagi fasilitas penunjang lainnya,harga tiket masuk sangat terjangkau lokasi juga mudah ditempuh dan jalan memadai tempat bersih harga makanan warung normal pelayanan juga baik mungkin ditingkatkan atau ditambah lagi fasilitas penunjang lainnya,"['harga', 'tiket', 'masuk', 'sangat', 'terjangkau', 'lokasi', 'juga', 'mudah', 'ditempuh', 'dan', 'jalan', 'memadai', 'tempat', 'bersih', 'harga', 'makanan', 'warung', 'normal', 'pelayanan', 'juga', 'baik', 'mungkin', 'ditingkatkan', 'atau', 'ditambah', 'lagi', 'fasilitas', 'penunjang', 'lainnya']","['harga', 'tiket', 'masuk', 'terjangkau', 'lokasi', 'mudah', 'ditempuh', 'jalan', 'memadai', 'bersih', 'harga', 'makanan', 'warung', 'normal', 'pelayanan', 'ditingkatkan', 'ditambah', 'fasilitas', 'penunjang']",harga tiket masuk jangkau lokasi mudah tempuh jalan pada bersih harga makan warung normal layan tingkat tambah fasilitas tunjang,The price of admission is very affordable for locations is also easy to take and the road is adequate place to clean food stalls Normal service is also possible to be improved or added other supporting facilities
"Sumber Sira Putukrejo baru pertama kali tahun 2017, dengan lokasinya Putukrejo, Gondanglegi, Kabupaten Malang. Tiket masuknya dua ribu rupiah perorang, sewa ban lima ribu rupiah, loker tas seribu rupiah dan mandi dua ribu rupiah. Ada …",sumber sira putukrejo baru pertama kali tahun dengan lokasinya putukrejo gondanglegi kabupaten malang tiket masuknya dua ribu rupiah perorang sewa ban lima ribu rupiah loker tas seribu rupiah dan mandi dua ribu rupiah ada,sumber sira putukrejo baru pertama kali tahun dengan lokasinya putukrejo gondanglegi kabupaten malang tiket masuknya dua ribu rupiah perorang sewa ban lima ribu rupiah loker tas seribu rupiah dan mandi dua ribu rupiah ada,"['sumber', 'sira', 'putukrejo', 'baru', 'pertama', 'kali', 'tahun', 'dengan', 'lokasinya', 'putukrejo', 'gondanglegi', 'kabupaten', 'malang', 'tiket', 'masuknya', 'dua', 'ribu', 'rupiah', 'perorang', 'sewa', 'ban', 'lima', 'ribu', 'rupiah', 'loker', 'tas', 'seribu', 'rupiah', 'dan', 'mandi', 'dua', 'ribu', 'rupiah', 'ada']","['sumber', 'sira', 'putukrejo', 'kali', 'lokasinya', 'putukrejo', 'gondanglegi', 'kabupaten', 'malang', 'tiket', 'masuknya', 'ribu', 'rupiah', 'perorang', 'sewa', 'ban', 'ribu', 'rupiah', 'loker', 'tas', 'seribu', 'rupiah', 'mandi', 'ribu', 'rupiah']",sumber sira putukrejo kali lokasi putukrejo gondanglegi kabupaten malang tiket masuk ribu rupiah orang sewa ban ribu rupiah loker tas ribu rupiah mandi ribu rupiah,"Sumber Sira Putukrejo is the first time the location of the location of Putukrejo Gondanglegi Malang Regency is the entrance ticket of two thousand rupiahs, a five thousand rupiah tire rent"
Mengaji,mengaji,mengaji,['mengaji'],['mengaji'],aji,study
"Tempatnya sejuk, tiket murah, cocok untuk piknik bareng keluarga",tempatnya sejuk tiket murah cocok untuk piknik bareng keluarga,tempatnya sejuk tiket murah cocok untuk piknik bareng keluarga,"['tempatnya', 'sejuk', 'tiket', 'murah', 'cocok', 'untuk', 'piknik', 'bareng', 'keluarga']","['tempatnya', 'sejuk', 'tiket', 'murah', 'cocok', 'piknik', 'bareng', 'keluarga']",tempat sejuk tiket murah cocok piknik bareng keluarga,The place is cool cheap tickets suitable for a picnic with family
